row_id,gabes_key,unit,row_type,description,Sim_2025_gold_final,McCormick_2007_OL,McCormick_2008_PRA,Vogl_2012_SPIE,Liu_2011_OL,Wu_2019_OE,de_Araujo_2024_OE,Allen_2026_OE,Jain_2025_OL,Monsa_2026_preprint
opd_ghz_max,opd,GHz,data_numeric,Upper reported/usable OPD bound; equals primary for single-point reports.,0.9,0.75,0.8,1,1,1.3,,0.95,,0.9
opd_reference_code,opd,,data_text,Reference transition code used/assumed for OPD conversion.,F2_Fp3,F2_Fp_unclear,D1_F2_Fp_unclear,D1_unspecified,D1_unspecified,F2_Fp3,,F2_Fp_unclear,,F2_Fp3_assumed
tpd_mhz_gabes,tpd,MHz,data_numeric,TPD converted to GABES: omega_seed = omega_pump - nu_HF + delta.,-8,5.73,-4.27,,-4,-2,,-1,-4.27,-8
tpd_reported_mhz,tpd,MHz,data_numeric,Paper-reported two-photon detuning in paper convention when explicit.,-8,,4,,4,-2,,-1,,-8
tpd_reported_sign_code,tpd,,data_text,Paper sign convention/category.,gabes_like,spacing_only,spacing_minus_hf,unspecified,spacing_minus_hf,unspecified,,sideband_delta,spacing_only,gabes_like
tpd_sign_confidence,tpd,,data_text,Confidence that tpd_mhz_gabes has correct sign.,high,medium,high,low,high,low,none,medium,medium,medium
pump_probe_spacing_from_tpd_ghz,pump_probe_spacing,GHz,data_numeric,"Computed S=nu_HF-delta_GABES, nu_HF=3.035732439 GHz.",3.043732,3.03,3.04,,3.039732,3.037732,,3.036732,3.04,3.043732
reported_rf_or_aom_spacing_ghz,pump_probe_spacing,GHz,data_numeric,Reported RF/AOM/EOM spacing or pump-probe split when distinct from optimized TPD.,3.036,3.03,3.04,3,3.039732,3.037732,3,3.0357,3.04,3.04
cell_temperature_c_primary,temp_c,degC,data_numeric,Representative cell/stem temperature at reported squeezing point.,121,125,110,115,120,128,120,118,99,120
cell_temperature_c_min,temp_c,degC,data_numeric,Lower reported temperature bound; equals primary for single-point reports.,121,125,110,115,120,91,120,118,99,120
cell_temperature_c_max,temp_c,degC,data_numeric,Upper reported temperature bound; equals primary for single-point reports.,121,125,110,115,120,128,120,118,99,120
cell_length_mm,cell_mm,mm,data_numeric,Cell length or effective path if noted.,12.5,19,12.5,17,12,12,12,12.5,12,12.5
pump_power_mw_primary,pump_mw,mW,data_numeric,Representative pump power into FWM region/cell.,600,350,400,400,400,420,400,500,135,300
pump_power_mw_min,pump_mw,mW,data_numeric,Lower reported pump power bound; equals primary for single-point reports.,600,350,400,400,400,420,400,500,135,300
pump_power_mw_max,pump_mw,mW,data_numeric,Upper reported pump power/context bound.,600,350,400,400,400,750,800,500,550,300
probe_seed_power_uw_primary,probe_uw,uW,data_numeric,Representative input probe/seed at cell; blank when not comparable.,8,200,100,5,10,6.4,,12,,10
probe_seed_power_uw_min,probe_uw,uW,data_numeric,Lower reported seed bound.,8,200,100,5,10,0.9,,12,,10
probe_seed_power_uw_max,probe_uw,uW,data_numeric,Upper reported seed/context bound.,10,200,100,5,10,6.4,,14,,10
pump_waist_um_1e2_radius,pump_waist_um,um,data_numeric,Pump 1/e^2 radius used by GABES; diameters converted by /2.,530,600,650,450,550,750,325,700,300,
probe_waist_um_1e2_radius,probe_waist_um,um,data_numeric,Probe/seed 1/e^2 radius used by GABES; diameters converted by /2.,330,350,350,350,300,275,,390,300,
pump_probe_angle_deg_primary,seeded_angle_deg,deg,data_numeric,Representative pump-probe crossing angle.,0.32,0.75,0.3,1,0.4,0.5,0.3,0.35,0.4,0.5
pump_probe_angle_deg_min,seeded_angle_deg,deg,data_numeric,Lower angle bound; equals primary for single-point reports.,0.32,0.75,0.3,1,0.4,0.3,0.3,0.35,0.4,0.5
pump_probe_angle_deg_max,seeded_angle_deg,deg,data_numeric,Upper angle bound; equals primary for single-point reports.,0.32,0.75,0.3,1,0.4,0.5,0.3,0.35,0.4,0.5
fwm_gain_primary,fwm_gain,,data_numeric,Representative seeded probe gain; inferred only where note says so.,15.5,4,9,7,8,20,,,,15
fwm_gain_min,fwm_gain,,data_numeric,Lower reported/inferred gain bound.,15,4,9,4,8,5,,,,15
fwm_gain_max,fwm_gain,,data_numeric,Upper reported/inferred gain bound.,16,4,15,10,8,20,,,,15
output_probe_power_uw,,uW,data_numeric,"Amplified probe output after cell, when given.",111,95,305,,80,129,,,,150
output_conjugate_power_uw,,uW,data_numeric,"Conjugate output after cell, when given.",109,85,290,,70,17,,218,,120
optical_loss_pct,loss_pct,pct,data_numeric,Post-cell optical loss comparable to GABES loss_pct; blank if only detector/fiber/system loss reported.,5.5,20,4.5,,,,,,,
detector_qe_pct,,pct,data_numeric,Detector quantum efficiency where reported or used by GABES reference.,92,82,94.5,,96,95,,,,
total_detection_loss_pct,,pct,data_numeric,Total detection loss including detector/system when reported/derivable.,13.5,34.4,10,,,,,,,
squeezing_measured_db,,dB,data_numeric,Best/representative measured squeezing; negative = below shot noise.,-7.8,-3.5,-8,-2.1,-5,-5,-4,-8.2,-7.2,-8
squeezing_after_channel_db,,dB,data_numeric,After-fiber/output-channel squeezing when distinct from before-channel value.,,,,,,,,,-4.4,
squeezing_corrected_or_slope_db,,dB,data_numeric,Loss-corrected or slope-derived squeezing when reported.,-8.7,-8.1,-11,,,,,-8.8,,-8
squeezing_slope_ratio,,,data_numeric,Intensity-difference slope ratio where reported.,0.134,,0.131,,,,,0.131,,0.135
analysis_freq_low_khz,,kHz,data_numeric,Lower analysis frequency bound for reported squeezing band.,40,300,4.5,200,1.5,0.01,0.005,200,300,40
analysis_freq_high_khz,,kHz,data_numeric,Upper analysis frequency bound for reported squeezing band.,500,4000,20000,2000,16500,,20000,200,1000,500
squeezing_bandwidth_mhz_primary,,MHz,data_numeric,Representative squeezing bandwidth.,3.5,4,20,2,,,20,,1,3
squeezing_bandwidth_mhz_min,,MHz,data_numeric,Lower reported squeezing bandwidth bound.,3.5,4,20,2,5.5,,15,,0.3,3
squeezing_bandwidth_mhz_max,,MHz,data_numeric,Upper reported squeezing bandwidth bound.,3.5,4,20,2,16.5,,20,,1,3
line_strength_for_GABES,line_strength,,data_numeric,Empirical GABES scaling; calibrated only to Sim gold family unless refit.,0.74,,,,,,,,,
opd_note,opd,,note_text,OPD conversion/source caveat.,direct F=2 -> Fp=3 gold value,paper says F=2 -> Fp line; exact Fp unclear,D1 F=2 ref; extracted text lacks exact Fp,D1 ref not fully explicit; broad blue range reported,key optimum ~0.8 GHz; setup text also ~1 GHz blue,direct F=2 -> Fp=3; primary from low-frequency condition,exact OPD not reported,blue of D1 F=2 -> Fp line; exact Fp ambiguous,OPD not reported,Sim-style 0.9 GHz value in preprint
tpd_note,tpd,,note_text,TPD sign/spacing caveat.,GABES value from gold reference; EOM spacing text rounded separately,computed from 3.030 GHz red spacing: delta=nu_HF-S,3.040 GHz red spacing; paper +4 MHz uses opposite spacing convention,only few-MHz tuning reported; sign/value not enough for regression,"explicit paper convention delta=S-nu_HF, so +4 -> GABES -4",reported -2 but formal sign not found; treat low confidence,homodyne paper gives ~3 GHz offset but no exact TPD,reported -1 sideband detuning; sign likely Sim-like but not formalized,computed from 3.040 GHz spacing; exact optimum not reported,reports -8; EOPM drive 3.040 GHz is rounded spacing
power_context_note,,,note_text,Power/seed context caveat.,GABES uses 8 uW seed; setup also says ~10 uW,probe up to 0.2 mW; use 200 uW as reported condition,weak probe ~100 uW,5 uW applied probe,10 uW seed; gain row inferred from 80 uW amplified probe,dual-seeded; 420 mW Fig.2 vs 750 mW later runs,"pump split into two regions; no measurement seed, LO ~500 uW","12 uW optimum direct IDS, 14 uW stability run",135 mW optimized fiber source; 550 mW prior free-space comparison,10 uW seed; ~18 mW before EOPM filtering
beam_context_note,,,note_text,Beam-size/angle caveat.,README treats 530/330 um as 1/e^2 radii despite paper wording,natural-abundance Brewster-tilted cell; larger angle,"similar angle to Sim, larger pump waist",compact setup uses larger ~1 deg angle,near-Sim geometry but 0.4 deg angle,reported diameters converted to radii; 0.5 deg chosen for low-frequency scatter control,pump diameter converted to 325 um radius; probe mode not comparable,D4sigma waist diameters divided by two for GABES-style radius,optimized fiber mode uses 0.6 mm diameter -> 300 um radius; prior free-space larger,beam waists not found in extracted text
loss_context_note,loss_pct,,note_text,Loss/QE caveat.,GABES separates 5.5 pct optical loss and 92 pct QE; paper total loss 13.5 pct,large path loss plus QE 82 pct; total eta ~65.6 pct,low path loss plus QE 94.5 pct; total eta ~90 pct,loss details not reported,QE 96 pct; other optical loss not reported,QE ~95 pct; other loss not portable,homodyne efficiencies not direct GABES loss_pct,detector QE not found; etalon/filter losses separate,fiber coupling >90 pct but extra mode noise dominates beyond simple loss,system noise ~1 dB; detailed loss not reported
squeezing_context_note,,,note_text,Squeezing metric caveat.,"measured -7.8 dB, slope about -8.7/-8.8 dB","measured -3.5 dB, loss corrected -8.1 dB",loss-corrected better than -11 dB; slope -8.8 dB,"compact source lower squeeze, ~800 kHz example",bandwidth tunable 5.5-16.5 MHz by pump power,value is lower bound: more than 5 dB above ~20 Hz; sub-shot below 10 Hz,"quadrature/homodyne squeezing, not direct IDS","best direct -8.2 dB, stable mean ~-7.9 dB with retuning","before-fiber -7.2 dB, after-fiber -4.4 dB",preprint reports Sim-class ~-8 dB with lower pump
[교훈],,,note_text,Paper-specific lesson.,EOM single diode works if carrier/multimode leakage filtered hard.,Probe absorption + imbalance dominate; natural abundance adds 87Rb structure.,Slow-light delay compensation improves low-frequency squeezing/bandwidth.,Compact diode/TA works; exact TPD + dispersion bottleneck.,Pump power tunes bandwidth but raises scatter; temp/angle critical.,Dual seeding suppresses seed and gain/absorption noise.,Homodyne needs group-delay compensation + spatial mode matching.,Long-term stability mainly laser frequency + etalon temperature.,"Fiber source limited by coherence area/spatial filtering, not only insertion loss.",One EOPM + one FP etalon may reach Sim-class IDS at lower pump.
[특이사항],,,note_text,Difference from Sim et al. gold reference.,Gold reference for GABES defaults and line_strength=0.74.,"Natural abundance, hotter, longer path, lower pump, larger angle, worse eta.","Lower temp, larger pump waist, higher seed, opposite TPD convention.","Longer cell, larger angle, lower squeeze, no exact TPD sign/value.",TPD sign opposite GABES; +4 MHz paper -> -4 MHz GABES.,"Dual-seeded, larger beams/powers, angle often 0.5 deg, TPD sign ambiguous.","Homodyne/vacuum-seeded, pump split; outside seeded IDS model.","Close performance but lower temp/pump, larger D4sigma beams, one-etalon leakage.",Fiber-coupled noise budget/spatial modes differ; not simple loss_pct.,Preprint mirrors Sim OPD/TPD but half pump and missing beam waists.
